Id,ActivityDate,TotalSteps,TotalDistance,TrackerDistance,LoggedActivitiesDistance,VeryActiveDistance,ModeratelyActiveDistance,LightActiveDistance,SedentaryActiveDistance,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes,Calories
1503960366,12/04/2016,13162,8.5000,8.5000,0.0000,1.880,0.550,6.060,0.000,25,13,328,728,1985
1624580081,12/04/2016,8163,5.3100,5.3100,0.0000,0.000,0.000,5.310,0.000,0,0,146,1294,1432
1644430081,12/04/2016,10694,7.7700,7.7700,0.0000,0.140,2.300,5.330,0.000,2,51,256,1131,3199
1844505072,12/04/2016,6697,4.4300,4.4300,0.0000,0.000,0.000,4.430,0.000,0,0,339,1101,2030
1927972279,12/04/2016,678,0.4700,0.4700,0.0000,0.000,0.000,0.470,0.000,0,0,55,734,2220
2022484408,12/04/2016,11875,8.3400,8.3400,0.0000,3.310,0.770,4.260,0.000,42,14,227,1157,2390
2026352035,12/04/2016,4414,2.7400,2.7400,0.0000,0.190,0.350,2.200,0.000,3,8,181,706,1459
2320127002,12/04/2016,10725,7.4900,7.4900,0.0000,1.170,0.310,6.010,0.000,13,9,306,1112,2124
2347167796,12/04/2016,10113,6.8300,6.8300,0.0000,2.000,0.620,4.200,0.000,28,13,320,964,2344
2873212765,12/04/2016,8796,5.9100,5.9100,0.0000,0.110,0.930,4.880,0.000,2,21,356,1061,1982
3372868164,12/04/2016,4747,3.2400,3.2400,0.0000,0.000,0.000,3.230,0.010,0,0,280,1160,1788
3977333714,12/04/2016,8856,5.9800,5.9800,0.0000,3.060,0.910,2.010,0.000,44,19,131,777,1450
4020332650,12/04/2016,8539,6.1200,6.1200,0.0000,0.150,0.240,5.680,0.000,4,15,331,712,3654
4057192912,12/04/2016,5394,4.0300,4.0300,0.0000,0.000,0.000,3.940,0.000,0,0,164,1276,2286
4319703577,12/04/2016,7753,5.2000,5.2000,0.0000,0.000,0.000,0.000,0.000,0,0,0,1440,2115
4388161847,12/04/2016,10122,7.7800,7.7800,0.0000,0.000,0.000,0.000,0.000,0,0,0,1440,2955
4445114986,12/04/2016,3276,2.2000,2.2000,0.0000,0.000,0.000,2.200,0.000,0,0,196,787,2113
4558609924,12/04/2016,5135,3.3900,3.3900,0.0000,0.000,0.000,3.390,0.000,0,0,318,1122,1909
4702921684,12/04/2016,7213,5.8800,5.8800,0.0000,0.000,0.000,5.850,0.000,0,0,263,718,2947
5553957443,12/04/2016,11596,7.5700,7.5700,0.0000,1.370,0.790,5.410,0.000,19,13,277,767,2026
5577150313,12/04/2016,8135,6.0800,6.0800,0.0000,3.600,0.380,2.100,0.000,86,16,140,728,3405
6117666160,12/04/2016,0,0.0000,0.0000,0.0000,0.000,0.000,0.000,0.000,0,0,0,1440,1496
6290855005,12/04/2016,4562,3.4500,3.4500,0.0000,0.000,0.000,3.450,0.000,0,0,199,1241,2560
6775888955,12/04/2016,0,0.0000,0.0000,0.0000,0.000,0.000,0.000,0.000,0,0,0,1440,1841
6962181067,12/04/2016,10199,6.7400,6.7400,0.0000,3.400,0.830,2.510,0.000,50,14,189,796,1994
7007744171,12/04/2016,14172,10.2900,9.4800,4.8698,4.500,0.380,5.410,0.000,53,8,355,1024,2937
7086361926,12/04/2016,11317,8.4100,8.4100,0.0000,5.270,0.150,2.970,0.000,59,6,153,745,2772
8053475328,12/04/2016,18060,14.1200,14.1200,0.0000,11.640,0.390,2.100,0.000,116,8,123,1193,3186
8253242879,12/04/2016,9033,7.1600,7.1600,0.0000,5.430,0.140,1.590,0.000,40,2,154,1244,2044
8378563200,12/04/2016,7626,6.0500,6.0500,2.2531,0.830,0.710,4.500,0.000,65,15,156,723,3635
8583815059,12/04/2016,5014,3.9100,3.9100,0.0000,0.000,0.330,3.580,0.000,0,7,196,1237,2650
8792009665,12/04/2016,2564,1.6400,1.6400,0.0000,0.000,0.000,1.640,0.000,0,0,116,831,2044
8877689391,12/04/2016,23186,20.4000,20.4000,0.0000,12.220,0.340,7.820,0.000,85,7,312,1036,3921
1503960366,13/04/2016,10735,6.9700,6.9700,0.0000,1.570,0.690,4.710,0.000,21,19,217,776,1797
1624580081,13/04/2016,7007,4.5500,4.5500,0.0000,0.000,0.000,4.550,0.000,0,0,148,1292,1411
1644430081,13/04/2016,8001,5.8200,5.8200,0.0000,2.280,0.900,2.640,0.000,30,16,135,1259,2902
1844505072,13/04/2016,4929,3.2600,3.2600,0.0000,0.000,0.000,3.260,0.000,0,0,248,1192,1860
1927972279,13/04/2016,356,0.2500,0.2500,0.0000,0.000,0.000,0.250,0.000,0,0,32,986,2151
2022484408,13/04/2016,12024,8.5000,8.5000,0.0000,2.990,0.100,5.410,0.000,43,5,292,1100,2601
2026352035,13/04/2016,4993,3.1000,3.1000,0.0000,0.000,0.000,3.100,0.000,0,0,238,663,1521
2320127002,13/04/2016,7275,4.9000,4.9000,0.0000,0.000,0.000,4.900,0.000,0,0,335,1105,2003
2347167796,13/04/2016,10352,7.0100,7.0100,0.0000,1.660,1.940,3.410,0.000,19,32,195,676,2038
2873212765,13/04/2016,7618,5.1200,5.1200,0.0000,0.000,0.220,4.880,0.020,0,8,404,1028,2004
3372868164,13/04/2016,9715,6.6300,6.6300,0.0000,0.990,0.340,5.270,0.020,16,8,371,1045,2093
3977333714,13/04/2016,10035,6.7100,6.7100,0.0000,2.030,2.130,2.550,0.000,31,46,153,754,1495
4020332650,13/04/2016,0,0.0000,0.0000,0.0000,0.000,0.000,0.000,0.000,0,0,0,1440,1981
4057192912,13/04/2016,5974,4.4700,4.4700,0.0000,0.000,0.000,4.370,0.000,0,0,160,1280,2306
4319703577,13/04/2016,8204,5.5000,5.5000,0.0000,0.530,0.590,1.310,0.000,8,15,96,1234,2135
4388161847,13/04/2016,10993,8.4500,8.4500,0.0000,0.060,0.630,3.880,0.000,1,14,150,1275,3092
4445114986,13/04/2016,2961,1.9900,1.9900,0.0000,0.000,0.000,1.990,0.000,0,0,194,840,2095
4558609924,13/04/2016,4978,3.2900,3.2900,0.0000,1.240,0.440,1.610,0.000,19,7,127,1287,1722
4702921684,13/04/2016,6877,5.5800,5.5800,0.0000,0.000,0.000,5.580,0.000,0,0,258,777,2898
5553957443,13/04/2016,4832,3.1600,3.1600,0.0000,0.000,0.000,3.160,0.000,0,0,226,647,1718
5577150313,13/04/2016,5077,3.7900,3.7900,0.0000,0.320,0.220,3.250,0.000,15,11,144,776,2551
6117666160,13/04/2016,0,0.0000,0.0000,0.0000,0.000,0.000,0.000,0.000,0,0,0,1440,1496
6290855005,13/04/2016,7142,5.4000,5.4000,0.0000,0.000,0.000,5.390,0.010,0,0,350,1090,2905
6775888955,13/04/2016,4053,2.9100,2.9100,0.0000,1.110,0.580,1.220,0.000,17,18,85,1053,2400
6962181067,13/04/2016,5652,3.7400,3.7400,0.0000,0.570,1.210,1.960,0.000,8,24,142,548,1718
7007744171,13/04/2016,12862,9.6500,8.6000,4.8513,4.610,0.560,4.480,0.000,56,22,261,1101,2742
7086361926,13/04/2016,5813,3.6200,3.6200,0.0000,0.560,0.210,2.840,0.000,31,26,155,744,2516
8053475328,13/04/2016,16433,13.3500,13.3500,0.0000,10.430,0.470,2.450,0.000,95,12,156,1177,3140
8253242879,13/04/2016,8053,6.1000,6.1000,0.0000,4.170,0.630,1.310,0.000,35,11,96,1298,1935
8378563200,13/04/2016,12386,9.8200,9.8200,2.0921,4.960,0.650,4.210,0.000,116,14,169,680,4079
8583815059,13/04/2016,5571,4.3500,4.3500,0.0000,0.150,0.970,3.230,0.000,2,23,163,1252,2654
8792009665,13/04/2016,1320,0.8400,0.8400,0.0000,0.000,0.000,0.840,0.000,0,0,82,806,1934
8877689391,13/04/2016,15337,9.5800,9.5800,0.0000,3.550,0.380,5.640,0.000,108,18,216,1098,3566
1503960366,14/04/2016,10460,6.7400,6.7400,0.0000,2.440,0.400,3.910,0.000,30,11,181,1218,1776
1624580081,14/04/2016,9107,5.9200,5.9200,0.0000,0.000,0.000,5.910,0.010,0,0,236,1204,1572
1644430081,14/04/2016,11037,8.0200,8.0200,0.0000,0.360,2.560,5.100,0.000,5,58,252,1125,3226
1844505072,14/04/2016,7937,5.2500,5.2500,0.0000,0.000,0.000,5.230,0.000,0,0,373,843,2130
1927972279,14/04/2016,2163,1.5000,1.5000,0.0000,0.000,0.400,1.100,0.000,0,9,88,1292,2383
2022484408,14/04/2016,10690,7.5000,7.5000,0.0000,2.480,0.210,4.820,0.000,32,3,257,1148,2312
2026352035,14/04/2016,3335,2.0700,2.0700,0.0000,0.000,0.000,2.050,0.000,0,0,197,653,1431
2320127002,14/04/2016,3973,2.6800,2.6800,0.0000,0.000,0.000,2.680,0.000,0,0,191,1249,1696
2347167796,14/04/2016,10129,6.7000,6.7000,0.0000,0.020,2.740,3.940,0.000,1,48,206,705,2010
2873212765,14/04/2016,7910,5.3200,5.3200,0.0000,0.000,0.000,5.320,0.000,0,0,331,1109,1893
3372868164,14/04/2016,8844,6.0300,6.0300,0.0000,0.340,1.030,4.650,0.010,6,25,370,1039,2065
3977333714,14/04/2016,7641,5.1100,5.1100,0.0000,0.320,0.970,3.820,0.000,5,23,214,801,1433
4020332650,14/04/2016,108,0.0800,0.0800,0.0000,0.000,0.000,0.030,0.000,0,0,3,1437,2011
4057192912,14/04/2016,0,0.0000,0.0000,0.0000,0.000,0.000,0.000,0.000,0,0,0,1440,1776
4319703577,14/04/2016,10210,6.8800,6.8800,0.0000,0.110,0.330,6.440,0.000,1,9,339,589,2302
4388161847,14/04/2016,8863,6.8200,6.8200,0.0000,0.130,1.070,5.620,0.000,10,35,219,945,2998
4445114986,14/04/2016,3974,2.6700,2.6700,0.0000,0.000,0.000,2.670,0.000,0,0,231,717,2194
4558609924,14/04/2016,6799,4.4900,4.4900,0.0000,0.000,0.000,4.490,0.000,0,0,279,1161,1922
4702921684,14/04/2016,7860,6.3700,6.3700,0.0000,0.000,0.000,6.370,0.000,0,0,271,772,2984
5553957443,14/04/2016,17022,11.1200,11.1200,0.0000,4.000,2.450,4.670,0.000,61,41,256,693,2324
5577150313,14/04/2016,8596,6.4200,6.4200,0.0000,3.330,0.310,2.780,0.000,118,30,176,662,4022
6117666160,14/04/2016,0,0.0000,0.0000,0.0000,0.000,0.000,0.000,0.000,0,0,0,1440,1496
6290855005,14/04/2016,7671,5.8000,5.8000,0.0000,0.000,0.000,5.770,0.030,0,0,363,1077,2952
6775888955,14/04/2016,5162,3.7000,3.7000,0.0000,0.870,0.860,1.970,0.000,14,24,105,863,2507
6962181067,14/04/2016,1551,1.0300,1.0300,0.0000,0.000,0.000,1.030,0.000,0,0,86,862,1466
7007744171,14/04/2016,11179,8.2400,7.4800,3.2854,2.950,0.340,4.960,0.000,34,6,304,1096,2668
7086361926,14/04/2016,9123,6.1200,6.1200,0.0000,2.030,0.330,3.660,0.000,35,32,189,787,2734
8053475328,14/04/2016,20159,15.9700,15.9700,0.0000,12.340,0.210,3.360,0.000,119,5,193,1123,3411
8253242879,14/04/2016,5234,3.4600,3.4600,0.0000,1.930,0.990,0.540,0.000,29,16,33,1362,1705
8378563200,14/04/2016,13318,10.5600,10.5600,2.2531,5.620,1.030,3.910,0.000,123,21,174,699,4163
