date,deepSleepTime,shallowSleepTime,wakeTime,startDateTime,stopDateTime,start,stop
14/01/2023,110,307,11,2023-01-14 01:28:00+0000,2023-01-14 10:25:00+0000,2023-01-14 01:28:00,2023-01-14 10:25:00
13/01/2023,86,253,0,2023-01-13 00:02:00+0000,2023-01-13 07:07:00+0000,2023-01-13 00:02:00,2023-01-13 07:07:00
12/1/2023,75,183,13,2023-01-12 02:15:00+0000,2023-01-12 08:25:00+0000,2023-01-12 02:15:00,2023-01-12 08:25:00
11/1/2023,60,251,0,2023-01-11 02:14:00+0000,2023-01-11 08:29:00+0000,2023-01-11 02:14:00,2023-01-11 08:29:00
10/1/2023,85,261,0,2023-01-10 01:29:00+0000,2023-01-10 08:05:00+0000,2023-01-10 01:29:00,2023-01-10 08:05:00
9/1/2023,62,175,22,2023-01-09 04:01:00+0000,2023-01-09 08:54:00+0000,2023-01-09 04:01:00,2023-01-09 08:54:00
8/1/2023,0,0,0,2023-01-08 23:00:00+0000,2023-01-08 23:00:00+0000,2023-01-08 23:00:00,2023-01-08 23:00:00
7/1/2023,95,298,0,2023-01-07 02:11:00+0000,2023-01-07 09:41:00+0000,2023-01-07 02:11:00,2023-01-07 09:41:00
6/1/2023,88,188,0,2023-01-06 01:40:00+0000,2023-01-06 07:12:00+0000,2023-01-06 01:40:00,2023-01-06 07:12:00
5/1/2023,119,407,0,2023-01-04 21:43:00+0000,2023-01-05 07:58:00+0000,2023-01-04 21:43:00,2023-01-05 07:58:00
4/1/2023,43,246,0,2023-01-04 02:55:00+0000,2023-01-04 08:41:00+0000,2023-01-04 02:55:00,2023-01-04 08:41:00
3/1/2023,76,229,0,2023-01-03 01:48:00+0000,2023-01-03 08:11:00+0000,2023-01-03 01:48:00,2023-01-03 08:11:00
2/1/2023,80,250,0,2023-01-02 01:25:00+0000,2023-01-02 07:44:00+0000,2023-01-02 01:25:00,2023-01-02 07:44:00
1/1/2023,103,324,0,2023-01-01 01:48:00+0000,2023-01-01 10:06:00+0000,2023-01-01 01:48:00,2023-01-01 10:06:00
31/12/2022,59,176,40,2022-12-31 03:35:00+0000,2022-12-31 09:02:00+0000,2022-12-31 03:35:00,2022-12-31 09:02:00
30/12/2022,98,334,3,2022-12-30 02:08:00+0000,2022-12-30 11:33:00+0000,2022-12-30 02:08:00,2022-12-30 11:33:00
29/12/2022,125,367,15,2022-12-29 01:35:00+0000,2022-12-29 11:22:00+0000,2022-12-29 01:35:00,2022-12-29 11:22:00
28/12/2022,8,160,3,2022-12-28 00:51:00+0000,2022-12-28 05:04:00+0000,2022-12-28 00:51:00,2022-12-28 05:04:00
27/12/2022,65,222,4,2022-12-27 03:01:00+0000,2022-12-27 08:34:00+0000,2022-12-27 03:01:00,2022-12-27 08:34:00
26/12/2022,82,220,32,2022-12-26 02:04:00+0000,2022-12-26 08:42:00+0000,2022-12-26 02:04:00,2022-12-26 08:42:00
25/12/2022,55,270,23,2022-12-25 03:25:00+0000,2022-12-25 10:16:00+0000,2022-12-25 03:25:00,2022-12-25 10:16:00
24/12/2022,79,238,0,2022-12-24 02:59:00+0000,2022-12-24 09:11:00+0000,2022-12-24 02:59:00,2022-12-24 09:11:00
23/12/2022,78,225,0,2022-12-23 01:47:00+0000,2022-12-23 08:28:00+0000,2022-12-23 01:47:00,2022-12-23 08:28:00
22/12/2022,77,284,2,2022-12-22 00:37:00+0000,2022-12-22 07:53:00+0000,2022-12-22 00:37:00,2022-12-22 07:53:00
21/12/2022,96,204,1,2022-12-21 02:10:00+0000,2022-12-21 08:44:00+0000,2022-12-21 02:10:00,2022-12-21 08:44:00
20/12/2022,46,243,0,2022-12-20 01:14:00+0000,2022-12-20 07:07:00+0000,2022-12-20 01:14:00,2022-12-20 07:07:00
19/12/2022,78,246,0,2022-12-19 00:59:00+0000,2022-12-19 07:09:00+0000,2022-12-19 00:59:00,2022-12-19 07:09:00
18/12/2022,51,180,1,2022-12-18 04:53:00+0000,2022-12-18 09:23:00+0000,2022-12-18 04:53:00,2022-12-18 09:23:00
17/12/2022,122,364,0,2022-12-16 23:35:00+0000,2022-12-17 09:20:00+0000,2022-12-16 23:35:00,2022-12-17 09:20:00
16/12/2022,40,232,2,2022-12-16 03:05:00+0000,2022-12-16 08:23:00+0000,2022-12-16 03:05:00,2022-12-16 08:23:00
15/12/2022,84,264,0,2022-12-15 01:22:00+0000,2022-12-15 07:54:00+0000,2022-12-15 01:22:00,2022-12-15 07:54:00
