date,steps,distanceM,runDistance,caloriesBurned,distanceKm,runDistanceKm
27/04/2016,4948,3242,46,281,3.242,0.046
28/04/2016,16573,12060,79,751,12.060,0.079
29/04/2016,18002,12916,29,737,12.916,0.029
30/04/2016,4126,2981,11,207,2.981,0.011
01/05/2016,3869,2651,0,244,2.651,0.000
02/05/2016,10004,7330,0,426,7.330,0.000
03/05/2016,14565,11022,55,616,11.022,0.055
04/05/2016,6295,4341,0,315,4.341,0.000
05/05/2016,12424,10207,2968,587,10.207,2.968
06/05/2016,7964,5736,209,345,5.736,0.209
07/05/2016,9518,7071,0,456,7.071,0.000
08/05/2016,4088,3119,0,197,3.119,0.000
09/05/2016,1958,1266,0,134,1.266,0.000
10/05/2016,4534,2974,48,270,2.974,0.048
11/05/2016,2569,1661,0,198,1.661,0.000
12/05/2016,10398,7728,64,500,7.728,0.064
13/05/2016,4276,2809,0,251,2.809,0.000
14/05/2016,4591,3314,0,264,3.314,0.000
15/05/2016,3164,2094,0,190,2.094,0.000
16/05/2016,5880,4415,46,253,4.415,0.046
17/05/2016,2499,1615,0,135,1.615,0.000
18/05/2016,7824,5584,65,387,5.584,0.065
19/05/2016,9053,6697,18,431,6.697,0.018
20/05/2016,12367,8560,110,614,8.560,0.110
21/05/2016,11307,8250,0,454,8.250,0.000
22/05/2016,1531,990,0,119,0.990,0.000
23/05/2016,2585,1671,0,165,1.671,0.000
24/05/2016,12141,8997,106,529,8.997,0.106
25/05/2016,9159,6433,399,455,6.433,0.399
26/05/2016,15682,11175,133,667,11.175,0.133
27/05/2016,16859,11675,698,698,11.675,0.698
28/05/2016,1480,957,0,108,0.957,0.000
29/05/2016,19521,13842,43,805,13.842,0.043
30/05/2016,4950,3603,0,214,3.603,0.000
31/05/2016,3575,2313,0,239,2.313,0.000
01/06/2016,11677,8641,0,535,8.641,0.000
02/06/2016,3755,2918,0,187,2.918,0.000
03/06/2016,5117,3402,49,245,3.402,0.049
04/06/2016,5896,3947,0,311,3.947,0.000
05/06/2016,3294,2129,0,205,2.129,0.000
06/06/2016,7644,5372,0,366,5.372,0.000
07/06/2016,9196,6306,0,434,6.306,0.000
08/06/2016,11668,8231,0,482,8.231,0.000
09/06/2016,4698,3037,19,290,3.037,0.019
10/06/2016,13407,9340,58,631,9.340,0.058
11/06/2016,10886,7569,137,491,7.569,0.137
12/06/2016,3912,2529,22,248,2.529,0.022
13/06/2016,9188,6839,0,381,6.839,0.000
14/06/2016,5231,3502,107,280,3.502,0.107
15/06/2016,13878,10191,82,603,10.191,0.082
16/06/2016,11051,7398,11,483,7.398,0.011
17/06/2016,8004,5495,110,412,5.495,0.110
18/06/2016,30386,21052,567,1104,21.052,0.567
19/06/2016,37375,26057,277,1333,26.057,0.277
20/06/2016,26579,18860,240,1015,18.860,0.240
21/06/2016,29694,21190,122,1114,21.190,0.122
22/06/2016,23866,16846,180,861,16.846,0.180
23/06/2016,30013,21454,0,1051,21.454,0.000
24/06/2016,21101,14760,53,889,14.760,0.053
25/06/2016,22026,15974,2310,855,15.974,2.310
26/06/2016,1895,1225,0,133,1.225,0.000
27/06/2016,7038,4929,119,418,4.929,0.119
28/06/2016,13270,9506,79,608,9.506,0.079
29/06/2016,9896,6819,106,456,6.819,0.106
30/06/2016,13112,8948,660,590,8.948,0.660
01/07/2016,15140,10834,168,647,10.834,0.168
02/07/2016,2522,1630,0,204,1.630,0.000
03/07/2016,10103,7013,113,466,7.013,0.113
04/07/2016,20349,14639,888,796,14.639,0.888
05/07/2016,9983,7257,269,442,7.257,0.269
06/07/2016,20540,14902,371,799,14.902,0.371
07/07/2016,7053,5149,581,352,5.149,0.581
08/07/2016,4499,2980,0,229,2.980,0.000
09/07/2016,5678,4233,57,293,4.233,0.057
10/07/2016,11777,8557,58,464,8.557,0.058
11/07/2016,3154,2159,55,206,2.159,0.055
12/07/2016,20699,14186,81,778,14.186,0.081
13/07/2016,16828,11917,65,705,11.917,0.065
14/07/2016,14564,10617,46,629,10.617,0.046
15/07/2016,27465,19750,205,1168,19.750,0.205
16/07/2016,7126,5318,0,345,5.318,0.000
17/07/2016,3530,2424,0,222,2.424,0.000
18/07/2016,19395,13484,749,893,13.484,0.749
19/07/2016,22027,16025,285,932,16.025,0.285
20/07/2016,14825,10500,128,618,10.500,0.128
21/07/2016,28426,20409,1177,1151,20.409,1.177
22/07/2016,21696,15552,444,918,15.552,0.444
23/07/2016,821,531,0,80,0.531,0.000
24/07/2016,11925,8904,49,533,8.904,0.049
25/07/2016,19729,13917,377,855,13.917,0.377
26/07/2016,24865,17352,578,1024,17.352,0.578
27/07/2016,17319,12215,355,817,12.215,0.355
28/07/2016,22108,15701,203,938,15.701,0.203
29/07/2016,27582,19790,276,1122,19.790,0.276
30/07/2016,13132,9147,83,589,9.147,0.083
31/07/2016,16795,11847,109,652,11.847,0.109
01/08/2016,27038,19214,194,1160,19.214,0.194
02/08/2016,14171,9976,171,585,9.976,0.171
03/08/2016,11759,8512,447,515,8.512,0.447
04/08/2016,22070,15257,508,940,15.257,0.508
05/08/2016,14260,10770,244,628,10.770,0.244
06/08/2016,11559,7930,110,563,7.930,0.110
07/08/2016,12764,8931,33,496,8.931,0.033
08/08/2016,27581,19889,2122,1171,19.889,2.122
09/08/2016,26044,18875,642,1055,18.875,0.642
10/08/2016,12709,9274,97,550,9.274,0.097
11/08/2016,12728,8866,435,527,8.866,0.435
12/08/2016,20143,14325,530,857,14.325,0.530
13/08/2016,8596,5886,34,412,5.886,0.034
14/08/2016,8501,6015,22,421,6.015,0.022
15/08/2016,14931,11065,463,676,11.065,0.463
16/08/2016,11955,8657,471,524,8.657,0.471
17/08/2016,17636,12686,658,765,12.686,0.658
18/08/2016,15932,11402,415,732,11.402,0.415
19/08/2016,18123,12706,522,778,12.706,0.522
20/08/2016,5026,3751,0,222,3.751,0.000
21/08/2016,9142,6742,0,469,6.742,0.000
22/08/2016,19683,13857,226,852,13.857,0.226
23/08/2016,21144,14729,857,855,14.729,0.857
24/08/2016,15255,10720,333,749,10.720,0.333
25/08/2016,18885,13489,636,860,13.489,0.636
26/08/2016,12161,7894,278,613,7.894,0.278
27/08/2016,3785,2500,0,240,2.500,0.000
28/08/2016,2500,1643,68,178,1.643,0.068
29/08/2016,13106,9558,503,578,9.558,0.503
30/08/2016,12277,9246,433,523,9.246,0.433
31/08/2016,11645,8758,697,495,8.758,0.697
01/09/2016,16011,11113,278,790,11.113,0.278
02/09/2016,21420,16047,113,946,16.047,0.113
03/09/2016,0,0,0,0,0.000,0.000
04/09/2016,0,0,0,0,0.000,0.000
05/09/2016,0,0,0,0,0.000,0.000
06/09/2016,0,0,0,0,0.000,0.000
07/09/2016,0,0,0,0,0.000,0.000
08/09/2016,0,0,0,0,0.000,0.000
09/09/2016,0,0,0,0,0.000,0.000
10/09/2016,0,0,0,0,0.000,0.000
11/09/2016,12045,9011,393,553,9.011,0.393
12/09/2016,15082,11275,700,679,11.275,0.700
13/09/2016,21065,15026,1418,881,15.026,1.418
14/09/2016,12903,9436,1760,548,9.436,1.760
15/09/2016,28063,20747,584,1197,20.747,0.584
16/09/2016,19197,14346,128,811,14.346,0.128
17/09/2016,12004,8640,372,544,8.640,0.372
18/09/2016,8219,5740,778,416,5.740,0.778
19/09/2016,19781,14387,2499,833,14.387,2.499
20/09/2016,27085,19665,2344,1067,19.665,2.344
21/09/2016,30265,21630,2662,1311,21.630,2.662
22/09/2016,14753,10554,1575,652,10.554,1.575
23/09/2016,11071,7738,1723,575,7.738,1.723
24/09/2016,1244,804,0,102,0.804,0.000
25/09/2016,17736,12438,754,790,12.438,0.754
